,Customer,State,CustomerLifetimeValue,Response,Coverage,Education,EffectiveToDate,EmploymentStatus,Gender,Income,LocationCode,MaritalStatus,MonthlyPremiumAuto,MonthsSinceLastClaim,MonthsSincePolicyInception,NumberofOpenComplaints,NumberofPolicies,PolicyType,Policy,RenewOfferType,SalesChannel,ClaimAmount,VehicleClass,VehicleSize
24,OH41318,Washington,26122.12998,No,Extended,Master,1/7/2011,Employed,M,83385.0,Suburban,Divorced,131.0,26.0,77.0,2.0,2.0,Personal Auto,Personal L3,Offer3,Web,704.337157,SUV,Medsize
25,LM58949,Oregon,2403.53947,No,Basic,High School or Below,1/30/2011,Disabled,M,24248.0,Suburban,Married,70.0,33.0,82.0,3.0,1.0,Personal Auto,Personal L2,Offer1,Agent,336.0,Four-Door Car,Medsize
26,ZG47195,Nevada,4931.258363,No,Basic,College,2/25/2011,Unemployed,M,0.0,Suburban,Single,73.0,24.0,47.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Agent,525.6,Four-Door Car,Small
27,XS56253,California,6600.477951,No,Basic,Bachelor,2/15/2011,Unemployed,M,0.0,Suburban,Single,110.0,18.0,95.0,3.0,7.0,Personal Auto,Personal L3,Offer1,Agent,1011.772647,Sports Car,Medsize
28,NH24429,Arizona,2886.232446,No,Basic,Doctor,2/1/2011,Employed,M,52972.0,Suburban,Single,74.0,3.0,68.0,0.0,1.0,Special Auto,Special L3,Offer2,Call Center,355.2,Four-Door Car,Medsize
29,FM31768,Arizona,5979.724161,Yes,Extended,High School or Below,2/7/2011,Employed,F,57693.0,Suburban,Divorced,76.0,16.0,56.0,0.0,3.0,Personal Auto,Personal L1,Offer2,Agent,547.2,Four-Door Car,Medsize
30,YM88338,California,4879.442929,No,Basic,Bachelor,2/25/2011,Employed,F,58580.0,Suburban,Married,61.0,5.0,53.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Agent,292.8,Four-Door Car,Medsize
31,NI18835,California,2927.734329,No,Basic,Bachelor,2/15/2011,Employed,M,51991.0,Rural,Married,73.0,4.0,95.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Web,124.376921,Four-Door Car,Medsize
32,QV40364,California,15114.40241,Yes,Basic,High School or Below,1/19/2011,Medical Leave,F,28513.0,Suburban,Married,100.0,4.0,22.0,1.0,2.0,Personal Auto,Personal L1,Offer2,Call Center,480.0,SUV,Medsize
33,AB96670,California,2393.915369,Yes,Basic,College,1/31/2011,Unemployed,M,0.0,Suburban,Single,70.0,24.0,10.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Branch,425.266308,Four-Door Car,Medsize
34,HK16676,Oregon,2712.832687,No,Basic,High School or Below,1/22/2011,Employed,M,39618.0,Suburban,Married,68.0,0.0,55.0,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Agent,326.4,Four-Door Car,Small
35,IF58637,California,2555.851671,No,Basic,High School or Below,1/31/2011,Employed,F,22881.0,Suburban,Single,65.0,20.0,10.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Call Center,312.0,Four-Door Car,Medsize
36,PM27367,California,2778.903705,No,Basic,Master,2/27/2011,Employed,F,73570.0,Rural,Single,70.0,0.0,46.0,1.0,1.0,Special Auto,Special L3,Offer2,Branch,75.936096,Two-Door Car,Medsize
37,MQ79612,California,8738.299629,No,Basic,Doctor,2/15/2011,Employed,M,91890.0,Rural,Married,107.0,30.0,28.0,0.0,7.0,Personal Auto,Personal L2,Offer3,Agent,156.617415,SUV,Small
38,TP39671,Arizona,3199.75316,No,Extended,Bachelor,1/20/2011,Unemployed,M,0.0,Rural,Married,87.0,3.0,43.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,132.492438,Four-Door Car,Medsize
39,LU36517,California,11124.60499,No,Premium,Bachelor,1/19/2011,Unemployed,M,0.0,Suburban,Single,112.0,25.0,69.0,0.0,2.0,Personal Auto,Personal L2,Offer3,Agent,806.4,Two-Door Car,Small
40,VN30344,California,5412.696604,No,Extended,College,1/22/2011,Unemployed,M,0.0,Suburban,Single,80.0,8.0,44.0,0.0,3.0,Personal Auto,Personal L3,Offer2,Agent,576.0,Four-Door Car,Small
41,FZ29605,California,2332.095228,No,Basic,College,2/21/2011,Unemployed,M,0.0,Suburban,Single,67.0,4.0,99.0,0.0,1.0,Corporate Auto,Corporate L1,Offer3,Web,482.4,Four-Door Car,Small
42,DY27653,Oregon,3755.806897,No,Extended,High School or Below,1/4/2011,Employed,F,56178.0,Suburban,Married,94.0,1.0,39.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Branch,451.2,Four-Door Car,Medsize
43,QH90382,Oregon,4187.77657,No,Premium,Master,1/19/2011,Employed,F,52471.0,Rural,Married,103.0,35.0,57.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Branch,163.955502,Two-Door Car,Small
44,AO40386,Oregon,22647.21772,No,Extended,College,1/25/2011,Retired,M,27504.0,Suburban,Divorced,91.0,26.0,45.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Branch,436.8,Four-Door Car,Small
45,HY46017,California,2776.772734,No,Basic,College,2/26/2011,Employed,F,70793.0,Rural,Married,69.0,32.0,1.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Web,62.625841,Four-Door Car,Large
46,QQ90441,Nevada,13770.97618,Yes,Premium,High School or Below,2/1/2011,Employed,F,59207.0,Suburban,Single,116.0,23.0,21.0,0.0,2.0,Personal Auto,Personal L1,Offer1,Agent,556.8,Four-Door Car,Medsize
47,SA62385,Oregon,7644.684144,No,Extended,High School or Below,1/9/2011,Medical Leave,F,26526.0,Suburban,Married,99.0,0.0,86.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Call Center,523.701824,Four-Door Car,Medsize
48,DQ98402,Nevada,3644.833554,Yes,Extended,High School or Below,1/15/2011,Employed,F,82477.0,Suburban,Married,90.0,1.0,69.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Agent,432.0,Two-Door Car,Large
49,CX20455,Arizona,22103.5072,Yes,Basic,College,1/30/2011,Unemployed,M,0.0,Suburban,Married,102.0,35.0,48.0,0.0,2.0,Corporate Auto,Corporate L3,Offer1,Branch,489.6,SUV,Medsize
50,FS97588,Oregon,5475.337618,No,Basic,Bachelor,2/22/2011,Employed,F,88251.0,Urban,Married,68.0,3.0,2.0,0.0,3.0,Personal Auto,Personal L3,Offer4,Branch,267.214383,Four-Door Car,Medsize
51,YO29244,Oregon,7995.41091,No,Basic,Bachelor,1/31/2011,Employed,F,25239.0,Rural,Divorced,100.0,30.0,59.0,0.0,7.0,Personal Auto,Personal L3,Offer3,Branch,150.96491,SUV,Medsize
52,HL14274,California,11895.18188,No,Extended,College,2/28/2011,Employed,F,88218.0,Rural,Divorced,99.0,9.0,25.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Web,50.32306,Two-Door Car,Large
53,RO25639,Nevada,5442.744248,No,Basic,Doctor,2/3/2011,Employed,F,25884.0,Urban,Married,69.0,18.0,36.0,3.0,9.0,Personal Auto,Personal L3,Offer2,Branch,292.274846,Four-Door Car,Medsize
54,CA45756,Arizona,22185.88045,No,Basic,Master,2/27/2011,Employed,F,60426.0,Rural,Single,62.0,0.0,97.0,0.0,2.0,Corporate Auto,Corporate L2,Offer1,Call Center,133.284622,Two-Door Car,Medsize
55,FL59259,Nevada,6317.373557,No,Extended,High School or Below,2/2/2011,Medical Leave,F,13792.0,Suburban,Divorced,87.0,2.0,3.0,2.0,3.0,Personal Auto,Personal L3,Offer1,Web,620.19254,Four-Door Car,Medsize
56,FX39582,Washington,5201.357604,No,Extended,Bachelor,2/18/2011,Employed,M,67001.0,Urban,Single,131.0,7.0,36.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Web,463.425687,SUV,Medsize
57,VY90611,California,2499.036551,No,Basic,Master,1/27/2011,Employed,F,28264.0,Suburban,Divorced,63.0,22.0,9.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Agent,364.622773,Two-Door Car,Small
58,WK46492,Arizona,9642.214529,No,Extended,Bachelor,2/22/2011,Employed,F,36108.0,Suburban,Divorced,128.0,5.0,35.0,2.0,9.0,Personal Auto,Personal L2,Offer3,Agent,614.4,SUV,Large
59,MI95708,Arizona,12947.68269,No,Premium,High School or Below,2/13/2011,Retired,F,15083.0,Suburban,Married,115.0,25.0,14.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Call Center,552.0,Four-Door Car,Large
60,ZY99878,California,13742.53724,No,Premium,High School or Below,1/3/2011,Employed,M,90343.0,Urban,Single,175.0,11.0,68.0,0.0,3.0,Personal Auto,Personal L2,Offer1,Branch,833.072722,SUV,Medsize
61,WH76688,Oregon,5555.830205,Yes,Basic,Bachelor,2/6/2011,Employed,M,74015.0,Suburban,Single,72.0,12.0,61.0,0.0,6.0,Personal Auto,Personal L3,Offer2,Call Center,471.443077,Four-Door Car,Small
62,EH24828,Nevada,2389.774148,No,Basic,College,1/11/2011,Employed,M,58652.0,Suburban,Married,64.0,14.0,75.0,5.0,1.0,Personal Auto,Personal L2,Offer2,Agent,307.2,Four-Door Car,Small
63,YV55495,Arizona,5744.229745,No,Basic,High School or Below,1/15/2011,Employed,F,68987.0,Urban,Married,71.0,11.0,40.0,0.0,6.0,Personal Auto,Personal L1,Offer1,Branch,204.475147,Four-Door Car,Medsize
64,LX24476,Oregon,3619.060986,No,Extended,Bachelor,1/24/2011,Unemployed,F,0.0,Urban,Married,98.0,27.0,47.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Web,310.842085,Four-Door Car,Medsize
65,SR71812,California,6473.32562,No,Extended,High School or Below,1/27/2011,Unemployed,F,0.0,Suburban,Married,88.0,3.0,99.0,0.0,6.0,Personal Auto,Personal L3,Offer1,Agent,468.492761,Four-Door Car,Small
66,PW88443,Oregon,2452.726922,No,Basic,College,1/28/2011,Employed,F,32764.0,Suburban,Married,61.0,30.0,23.0,0.0,1.0,Personal Auto,Personal L2,Offer4,Web,292.953446,Two-Door Car,Small
67,NW21079,Washington,4879.384813,No,Basic,Master,1/14/2011,Employed,F,67163.0,Rural,Married,61.0,17.0,41.0,2.0,5.0,Personal Auto,Personal L1,Offer1,Call Center,33.192803,Two-Door Car,Small
68,HQ82089,Arizona,11880.96623,No,Premium,High School or Below,1/23/2011,Unemployed,F,0.0,Suburban,Single,114.0,29.0,96.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Branch,820.8,Four-Door Car,Medsize
69,WY58555,Oregon,4929.549699,Yes,Basic,Bachelor,1/26/2011,Employed,M,25632.0,Suburban,Married,63.0,27.0,52.0,0.0,7.0,Personal Auto,Personal L3,Offer2,Call Center,351.270869,Two-Door Car,Medsize
70,PJ73790,Oregon,3939.00637,Yes,Extended,Bachelor,1/28/2011,Employed,F,60021.0,Suburban,Married,99.0,12.0,28.0,0.0,1.0,Special Auto,Special L1,Offer2,Agent,882.871945,Four-Door Car,Small
71,BD16530,Arizona,8293.481886,No,Basic,Bachelor,1/9/2011,Employed,F,70258.0,Urban,Divorced,69.0,20.0,65.0,0.0,2.0,Personal Auto,Personal L1,Offer1,Agent,225.145949,Four-Door Car,Medsize
72,IW87075,Arizona,7280.300642,No,Basic,Bachelor,2/5/2011,Employed,M,32627.0,Rural,Single,67.0,14.0,53.0,4.0,2.0,Personal Auto,Personal L3,Offer1,Call Center,54.628741,Four-Door Car,Medsize
73,HX96638,Arizona,2052.948967,No,Basic,College,2/2/2011,Unemployed,M,0.0,Suburban,Single,67.0,33.0,21.0,2.0,1.0,Personal Auto,Personal L3,Offer3,Agent,806.180375,Four-Door Car,Large
74,JG21385,California,8715.945469,No,Extended,Bachelor,2/25/2011,Unemployed,M,0.0,Suburban,Single,84.0,33.0,20.0,0.0,2.0,Personal Auto,Personal L3,Offer3,Branch,604.8,Four-Door Car,Medsize
75,TV97612,Oregon,8105.996039,No,Basic,Bachelor,2/24/2011,Medical Leave,M,20815.0,Suburban,Married,110.0,7.0,35.0,0.0,9.0,Personal Auto,Personal L3,Offer1,Agent,528.0,SUV,Medsize
76,TJ48439,Oregon,2321.052528,No,Basic,College,1/18/2011,Unemployed,F,0.0,Suburban,Single,66.0,0.0,10.0,0.0,1.0,Personal Auto,Personal L1,Offer3,Branch,508.703134,Two-Door Car,Small
77,OT85112,Washington,3403.919366,No,Extended,College,2/24/2011,Employed,M,38460.0,Rural,Divorced,88.0,15.0,1.0,1.0,1.0,Personal Auto,Personal L3,Offer1,Agent,91.55098,Four-Door Car,Medsize
78,YR34119,Washington,31161.74523,No,Basic,College,2/2/2011,Employed,F,30916.0,Rural,Married,112.0,7.0,65.0,0.0,2.0,Personal Auto,Personal L1,Offer1,Agent,200.11606,SUV,Small
79,CM59084,Oregon,3600.934326,Yes,Basic,High School or Below,2/25/2011,Retired,F,25147.0,Suburban,Single,101.0,7.0,54.0,0.0,1.0,Corporate Auto,Corporate L3,Offer1,Agent,694.598288,SUV,Medsize
80,SJ87277,Arizona,2685.425957,No,Basic,High School or Below,1/8/2011,Employed,M,75329.0,Rural,Married,67.0,15.0,17.0,0.0,1.0,Corporate Auto,Corporate L2,Offer3,Branch,45.905292,Four-Door Car,Large
81,LO90345,Oregon,14472.583,No,Basic,College,2/24/2011,Employed,F,22012.0,Rural,Married,185.0,5.0,69.0,0.0,5.0,Corporate Auto,Corporate L3,Offer2,Web,75.698305,Luxury SUV,Small
82,VW74085,Oregon,5932.560456,No,Basic,High School or Below,1/27/2011,Employed,F,48278.0,Rural,Married,74.0,22.0,7.0,0.0,4.0,Personal Auto,Personal L3,Offer1,Web,98.198664,Two-Door Car,Medsize
83,OF49789,Oregon,5121.838914,No,Extended,College,2/15/2011,Employed,F,57161.0,Suburban,Married,127.0,20.0,92.0,0.0,1.0,Personal Auto,Personal L1,Offer1,Agent,609.6,Sports Car,Medsize
84,AG62087,California,3412.566597,No,Extended,Bachelor,1/29/2011,Employed,M,30335.0,Urban,Married,87.0,17.0,42.0,0.0,1.0,Corporate Auto,Corporate L3,Offer3,Agent,326.132867,Four-Door Car,Medsize
85,AZ36763,Arizona,11834.73469,No,Extended,Bachelor,2/17/2011,Unemployed,F,0.0,Suburban,Single,85.0,12.0,37.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Agent,612.0,Four-Door Car,Medsize
86,RK53289,California,5646.323845,No,Basic,Bachelor,1/12/2011,Employed,F,39841.0,Suburban,Single,72.0,9.0,40.0,0.0,5.0,Personal Auto,Personal L3,Offer1,Agent,440.128707,Two-Door Car,Small
87,UJ79253,Oregon,21850.84002,No,Extended,College,2/17/2011,Employed,F,51056.0,Rural,Married,78.0,27.0,86.0,0.0,2.0,Personal Auto,Personal L1,Offer3,Branch,95.816516,Four-Door Car,Large
88,EN54716,Oregon,2395.57,Yes,Basic,Doctor,1/27/2011,Disabled,F,21986.0,Suburban,Divorced,63.0,1.0,9.0,0.0,1.0,Personal Auto,Personal L1,Offer2,Branch,333.696228,Two-Door Car,Medsize
89,RN56430,Nevada,5443.761524,No,Basic,High School or Below,2/15/2011,Employed,F,41449.0,Suburban,Married,69.0,16.0,96.0,1.0,3.0,Personal Auto,Personal L1,Offer3,Branch,331.2,Two-Door Car,Medsize
90,VL36269,Washington,2466.581354,No,Basic,High School or Below,1/25/2011,Unemployed,F,0.0,Suburban,Single,70.0,6.0,18.0,0.0,1.0,Special Auto,Special L1,Offer1,Branch,504.0,Four-Door Car,Small
91,TV75816,Oregon,2386.201293,No,Basic,High School or Below,2/19/2011,Employed,M,70911.0,Suburban,Single,63.0,20.0,13.0,3.0,1.0,Corporate Auto,Corporate L2,Offer2,Agent,302.4,Two-Door Car,Medsize
92,KN32615,Arizona,4313.34397,No,Extended,College,2/2/2011,Unemployed,F,0.0,Suburban,Single,126.0,2.0,96.0,2.0,1.0,Personal Auto,Personal L2,Offer1,Branch,656.57161,SUV,Large
93,UE19977,California,4379.770178,No,Premium,College,2/22/2011,Employed,F,47747.0,Rural,Divorced,111.0,31.0,76.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Web,165.588524,Two-Door Car,Medsize
94,BL44722,Nevada,41787.90343,Yes,Premium,High School or Below,1/31/2011,Employed,F,46587.0,Suburban,Divorced,119.0,34.0,74.0,2.0,2.0,Personal Auto,Personal L2,Offer1,Call Center,571.2,Four-Door Car,Medsize
95,BM66931,Arizona,4048.16129,No,Basic,High School or Below,2/5/2011,Employed,F,92801.0,Urban,Married,100.0,24.0,23.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Web,407.045238,SUV,Medsize
96,VV57998,California,2556.674379,No,Basic,Bachelor,1/2/2011,Unemployed,M,0.0,Suburban,Single,71.0,17.0,22.0,0.0,1.0,Corporate Auto,Corporate L2,Offer1,Agent,340.8,Four-Door Car,Medsize
97,FH65253,Oregon,23740.12142,No,Extended,High School or Below,1/3/2011,Employed,M,28025.0,Suburban,Married,87.0,28.0,94.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Branch,611.40108,Four-Door Car,Medsize
98,UF37831,Arizona,17029.89338,No,Extended,Master,2/9/2011,Employed,M,54613.0,Urban,Divorced,213.0,29.0,62.0,0.0,5.0,Personal Auto,Personal L3,Offer1,Call Center,731.559007,Luxury SUV,Medsize
99,MQ32284,California,12232.77625,No,Basic,College,1/23/2011,Employed,F,35133.0,Suburban,Married,102.0,2.0,31.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Agent,692.962785,SUV,Medsize
100,WM95454,California,2867.312197,Yes,Extended,Bachelor,1/3/2011,Retired,F,23376.0,Suburban,Divorced,78.0,19.0,18.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,374.4,Four-Door Car,Medsize
101,DA26490,California,4920.492369,No,Basic,Bachelor,2/13/2011,Employed,M,21366.0,Suburban,Married,63.0,20.0,47.0,0.0,3.0,Personal Auto,Personal L2,Offer4,Branch,302.4,Two-Door Car,Small
102,MY80583,Oregon,23981.54344,No,Basic,Bachelor,1/5/2011,Employed,F,84365.0,Suburban,Married,66.0,14.0,42.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Branch,316.8,Four-Door Car,Small
103,NU61528,Washington,3023.887488,No,Extended,Doctor,1/17/2011,Disabled,M,28383.0,Urban,Single,81.0,11.0,20.0,0.0,1.0,Personal Auto,Personal L2,Offer1,Branch,258.109435,Four-Door Car,Medsize
104,PI47776,Oregon,2530.705137,Yes,Basic,Bachelor,1/21/2011,Employed,F,89451.0,Rural,Single,63.0,11.0,2.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Web,61.769564,Four-Door Car,Medsize
105,OW20992,California,2311.118403,No,Basic,High School or Below,1/18/2011,Unemployed,M,0.0,Suburban,Single,68.0,0.0,45.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Web,489.6,Four-Door Car,Medsize
106,VM50666,California,9718.463569,No,Basic,Doctor,1/11/2011,Unemployed,M,0.0,Suburban,Divorced,65.0,12.0,46.0,0.0,2.0,Special Auto,Special L3,Offer1,Branch,312.0,Four-Door Car,Large
107,TV87155,Oregon,20946.19251,No,Basic,Bachelor,2/24/2011,Employed,F,69738.0,Suburban,Married,74.0,2.0,26.0,1.0,2.0,Personal Auto,Personal L3,Offer1,Branch,492.127532,Four-Door Car,Large
108,LL95376,Washington,2759.978287,Yes,Basic,Bachelor,1/3/2011,Employed,M,92296.0,Suburban,Married,69.0,4.0,65.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,331.2,Two-Door Car,Medsize
109,EU59853,California,4126.61326,No,Premium,College,2/20/2011,Employed,M,34080.0,Rural,Married,107.0,11.0,48.0,1.0,1.0,Personal Auto,Personal L3,Offer4,Branch,220.644418,Four-Door Car,Medsize
110,RB16360,Oregon,5330.593183,No,Extended,High School or Below,2/9/2011,Employed,M,84240.0,Suburban,Divorced,132.0,10.0,51.0,0.0,1.0,Personal Auto,Personal L3,Offer3,Branch,633.6,SUV,Large
111,VF32979,Washington,5800.171881,No,Basic,Bachelor,1/24/2011,Employed,F,25472.0,Suburban,Divorced,73.0,5.0,86.0,0.0,9.0,Corporate Auto,Corporate L2,Offer1,Branch,350.4,Four-Door Car,Medsize
112,KP22549,Oregon,3155.911309,No,Extended,Bachelor,2/6/2011,Employed,M,58213.0,Rural,Married,79.0,22.0,50.0,0.0,1.0,Personal Auto,Personal L3,Offer1,Agent,39.714767,Four-Door Car,Medsize
113,NZ98813,California,13840.16012,No,Basic,High School or Below,2/11/2011,Medical Leave,F,29658.0,Suburban,Divorced,119.0,20.0,66.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Call Center,571.2,SUV,Medsize
114,RS29507,Arizona,10395.70939,No,Extended,Bachelor,2/10/2011,Unemployed,F,0.0,Urban,Married,95.0,22.0,59.0,0.0,2.0,Personal Auto,Personal L3,Offer2,Agent,337.79769,Four-Door Car,Medsize
115,SN27401,Washington,7320.070571,No,Premium,High School or Below,1/5/2011,Unemployed,M,0.0,Suburban,Single,112.0,30.0,29.0,1.0,3.0,Personal Auto,Personal L2,Offer2,Agent,806.4,Two-Door Car,Medsize
116,UI73201,California,3667.37497,No,Extended,College,1/7/2011,Employed,M,62375.0,Suburban,Married,92.0,34.0,34.0,0.0,1.0,Personal Auto,Personal L2,Offer3,Web,618.630955,Two-Door Car,Medsize
117,EZ75048,California,3087.249746,No,Extended,Doctor,1/10/2011,Employed,M,41273.0,Urban,Married,77.0,16.0,19.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Call Center,221.226696,Four-Door Car,Medsize
118,HN63935,Arizona,3433.82408,No,Extended,Master,2/8/2011,Employed,M,85367.0,Rural,Married,85.0,27.0,20.0,0.0,1.0,Personal Auto,Personal L2,Offer4,Agent,67.975243,Four-Door Car,Large
119,EQ82942,California,9338.08481,No,Extended,Bachelor,2/4/2011,Unemployed,F,0.0,Suburban,Single,132.0,17.0,34.0,0.0,3.0,Personal Auto,Personal L3,Offer1,Branch,950.4,SUV,Medsize
